who,what,isCopy2,pub,pubnum,year,discogs_url
Dead Kennedys ,Frankenchrist,0,,VIRUS 45,,http://discogs.com//Dead-Kennedys-Frankenchrist/release/393961
Dead Kennedys ,Fresh Fruit for Rotting Vegetables,0,,B RED 10,,http://discogs.com//Dead-Kennedys-Fresh-Fruit-For-Rotting-Vegetables/release/372568
Dead Kennedys ,Fresh Fruit for Rotting Vegetables Orange,0,,,,http://discogs.com//Dead-Kennedys-Fresh-Fruit-For-Rotting-Vegetables/release/1519148
Dead Kennedys ,In God We Trust Inc 2nd copy,1,,,,http://discogs.com//Dead-Kennedys-In-God-We-Trust-Inc/master/31793
Dead Kennedys ,In God We Trust Inc,0,,,,http://discogs.com//Dead-Kennedys-In-God-We-Trust-Inc/release/4679333
Dean Martin ,Remember Me Im the One Who Loves You,0,,RS 6170,,http://discogs.com//Dean-Martin-Remember-Me-Im-The-One-Who-Loves-You/release/2037704
Dean Martin ,The Best Of,0,,DT 2601,,http://discogs.com//Dean-Martin-The-Best-Of-Dean-Martin/release/5251845
De La Soul ,Me Myself and I,0,Tommy Boy,TB 926,,http://discogs.com//De-La-Soul-Me-Myself-And-I/release/353297
Dick Unteed ,Down Memory Lane,0,,SLP1007,,http://discogs.com//Dick-Unteed-Down-Memory-Lane/release/12443391
Dionne Warwick ,Promises Promises,0,,,,
Dire Straits ,Making Movies,0,,,,
Donald Byrd ,Black Bird,0,,,,http://discogs.com//Donald-Byrd-Black-Byrd/release/8915800
Don Ho ,Greatest Hits,0,,,,
Donovan ,Barabajagal,0,,,,https://www.discogs.com/Donovan-Barabajagal/release/12617014
Donovan ,Cosmic Wheels,0,,,,
Donovan ,Donovan 1977,0,,,,
Donovan ,Donovan,0,,,,
Donovan ,In Concert,0,,,,
Donovan ,Mellow Yellow,0,,,,
Donovan ,Sunshine Superman,0,,,,
Donovan ,The Best Of,0,,,,
Donovan ,The Real Donovan,0,,,,
Donovan ,Wear Your Love Like Heaven,0,,,,
Dorati ,Porgy and Bess,0,,,,
Dudley Moore Trio ,The Dudley Moore Trio,0,,,,
Earl Scruggs ,Dueling Banjos,0,,,,
Ed Begley ,Washington Irving The Legend of Sleepy Hollow,0,,,,
Eddie Baxter ,Organ Blues n Boogie,0,,,,
Eddie Kolchak ,Ya Salaam The New AmerAbic Sound,0,,,,
Eddie Peabody ,Plays,0,,,,
Edmundo Ros ,Dance Again,0,,,,
Edmundo Ros ,The Sound of Music,0,,,,
Ed Podolak and his Polka Cats ,Dziesiec Calowy Ogorek,0,,,,
Ella Fitzgerald ,Best Metro MS500,0,,,,
Ella Fitzgerald ,The Cole Porter Songbook,0,,,,
ELO ,ELOs Greatest Hits,0,,,,
ELO ,Time,0,,,,
Elvin Jones ,Midnight Walk,0,,SD 1485,,http://discogs.com//Elvin-Jones-Midnight-Walk/release/2453388
Elvis Costello ,King of America,0,,,,
Enoch Light ,Guitar Underground,0,,,,
Enoch Light ,Patterns in Sound,0,,,,
Ernie Hecksher ,The Dancing Sounds of San Francisco,0,,,,
Erroll Garner ,Concert by the Sea,0,,,,
Eugene Friesen ,New Friend,0,,,,
Exuma ,Life,0,,,,
Family Lotus ,Rendezvous,0,,,,
Fausto Papetti ,Midnight Blue,0,,,,
Felicja Blumenthal ,Chopin Scherzo no 1 in B Minor Op 20,0,,,,
Frank Sinatra ,Cycles,0,,,,
Frank Sinatra ,In the Beginning 1943 to 1951,0,,,,
Frank Sinatra ,Try a Little Tenderness,0,,,,
Frank Zappa ,Overnight Sensation,0,,,,
Freddie Hubbard ,First Light,0,,,,
Freddie Hubbard ,Straight Life,0,,,,
Fritz Reiner ,Bach Six Brandenburg Concerti Vol 1,0,,,,
Fritz Reiner ,Bach Six Brandenburg Concerti Vol 2,0,,,,
Fritz Reiner ,Bach Six Brandenburg Concerti Vol 3,0,,,,
Funkadelic ,One Nation Under a Groove,0,,,,
Galaxy AllStars ,Live Under the Sky,0,,,,
Generation X ,Generation X,0,,,,
George Benson ,Good King Bad,0,,,,
George Benson n Willis Jackson ,Harlem Underground,0,,,,
George Carlin ,Class Clown,0,,,,
George Jones ,I am What I Am,0,,,,
Guiomar Novaes ,Chopin Mazurkas,0,,,,
Guiomar Novaes ,Mozart Piano Concerto no 20 and no 9,0,,,,
Hal Mooney ,Any Time,0,,,,
Hank Williams Jr,Ive Got a Right to Cry,0,MGM Records,SE-4774,1971,https://www.discogs.com/Hank-Williams-Jr-Ive-Got-A-Right-To-Cry-They-All-Used-To-Belong-To-Me/release/3660528
Hank Williams Jr ,Living Proof,0,,,,
Hank Williams ,The Very Best Of,0,,,,
Hank Wilson ,Hank Wilsons Back vol 1,0,,,,
Harry Chapin ,Sniper and Other Love Songs,0,,,,
Harry Owens ,Voice of the Trade Winds,0,,,,
Heifetz ,Mozart Divertimento in E Flat Major,0,,,,
Heifetz ,Three Great Violin Concertos,0,,,,
Henry Mancini ,Charade,0,,,,
Henry Mancini ,Dreams of You,0,,,,
Henry Mancini ,Everybodys Favorite,0,,,,
Henry Mancini ,Mancini Magic,0,,,,
Henry Mancini ,Mancini Plays Mancini,0,,,,
Henry Mancini ,Mr Lucky Goes Latin,0,,,,
Henry Mancini ,The Second Time Around,0,,,,
Henry Mancini ,The Sounds and Voices,0,,,,
Henry Mancini ,Uniquely Mancini,0,,,,
Honor Moore n Andrienne Rich n Audre Lorde n Joan Larkin ,A Sign I Was Not Alone,0,,,,https://www.discogs.com/Adrienne-Rich-Honor-Moore-Audre-Lorde-And-Joan-Larkin-A-Sign-I-Was-Not-Alone/release/3415355
Hot Bush ,Hot Bush,0,,,,http://discogs.com//Hot-Bush-Hot-Bush/release/1063283
Hot Tuna ,Burgers,0,,,,
Hot Tuna ,Double Dose,0,,,,
Hot Tuna ,Hoppkory,0,,,,
Hot Tuna ,Quah copy 2,1,,,,
Hot Tuna ,Quah,0,,,,
Hot Tuna ,Recorded Live at the New Orleans House Berkeley,0,,,,
Hot Tuna ,The Phosphoresent Rat,0,,,,
Husker Du ,New Day Rising,0,,,,
Iggy and the Stooges ,Raw Power,0,,,,
